plant_id,plant_installation_date,plant_name,sector,state,city,area,user_id,user_name,user_mobile,user_email,wind_speed,wind_direction,wind_speed_category,wind_direction_category,generator_speed,installation_year,theoretical_power,power_output,product_type1_wind_turbine,product_type2_tower_structure,product_type3_power_inverter,product_type4_controller_unit,total_num_of_products,installation_type,installation_cost,total_cost,User_Advantage
P_000001,2024-09-08,Jagannath Anantapur Current Network,Commercial,Andhra Pradesh,Anantapur,Urban,U_000053,Kala Shukla,8964417315,kshukla63@gmail.com,0.0,0,NA,NA,0.0,2024,0.0,0.0,0,8,0,8,16,Professional,75000,2080000,no_change
P_000002,2022-05-09,Udupi Wind Farm X,Private,Karnataka,Udupi,Urban,U_000167,Yasti Verma,8577618639,yasti.verma45@gmail.com,14.57,110,Strong,East,13.41,2022,59.45,66.06,26,26,28,30,110,Professional,75000,16810000,profit
P_000003,2025-09-03,Gujarat Cloud Unit,Government (MNRE),Gujarat,Surat,Rural,U_000078,Vasatika Gohil,7249429303,vasatika2817@yahoo.com,8.3,193,Moderate,South,17.95,2025,36.88,40.98,29,29,29,29,116,Professional,75000,17980000,profit
P_000004,2025-10-02,Tamil Marut Systems,Government (MNRE),Tamil Nadu,Tiruchirappalli,Semi-Urban,U_000068,Nathan Malik,7573129943,nathan_malik@yahoo.com,12.3,126,Moderate,East,12.83,2025,21.48,23.87,13,13,0,18,44,Professional,75000,6830000,profit
P_000005,2025-02-16,Devi Erode Flow Power,Co-operative,Tamil Nadu,Erode,Rural,U_000980,Aryan More,9058798526,aryan_more@gmail.com,11.63,302,Moderate,West,12.84,2025,15.9,9.65,7,7,9,10,33,Professional,75000,4925000,loss
P_000006,2025-11-28,Belgaum Wind Farm V,Industrial,Karnataka,Belgaum,Urban,U_000278,Vihaan Varadarajan,9690846163,vihaan.varadarajan80@outlook.com,8.6,2,Moderate,North,14.6,2025,11.64,7.2,8,8,0,12,28,Professional,75000,4300000,loss
P_000007,2023-07-07,Gujarat Storm Terminal,Commercial,Gujarat,Kutch,Rural,U_001006,Chakrika Ranganathan,9028933283,chakrikar1985@hotmail.com,3.26,257,Light Breeze,West,9.69,2023,1.94,2.15,25,25,28,27,105,Professional,75000,16115000,profit
P_000008,2025-02-23,Ajmer Wind Farm III,Industrial,Rajasthan,Ajmer,Semi-Urban,U_000714,Chandran Shah,7630550039,cshah68@outlook.com,7.31,121,Light Breeze,East,11.47,2025,3.59,3.99,6,6,9,10,31,Self,0,2220000,profit
P_000009,2025-01-05,Madhya Tejas Operations,Industrial,Madhya Pradesh,Katni,Urban,U_001018,Gaurangi Upadhyay,8143446178,g.upadhyay1988@gmail.com,7.94,324,Light Breeze,North,11.73,2025,15.16,16.85,27,27,30,0,84,Professional,75000,14310000,profit
P_000010,2021-02-19,Chittoor Wind Farm X,Government (MNRE),Andhra Pradesh,Chittoor,Semi-Urban,U_000453,Dev Singh,8433765950,devs1995@hotmail.com,5.76,321,Light Breeze,North,17.66,2021,16.33,12.9,26,26,29,27,108,Professional,75000,16630000,loss
P_000011,2023-01-09,Maharashtra Sameer Works,Industrial,Maharashtra,Ahmednagar,Urban,U_000273,Ekbal Somani,8166062151,somani.ekbal198@yahoo.com,0.0,0,NA,NA,0.0,2023,0.0,0.0,0,7,9,12,28,Professional,75000,3560000,no_change
P_000012,2021-11-27,Bhavani Rajahmundry Stream Terminal,Government (MNRE),Andhra Pradesh,Rajahmundry,Rural,U_000211,Elijah Negi,8804616490,elijah_negi@hotmail.com,5.73,210,Light Breeze,South,12.64,2021,5.54,6.15,20,20,21,24,85,Professional,75000,12955000,profit
P_000013,2024-03-06,Rajkot Wind Farm III,Private,Gujarat,Rajkot,Rural,U_000470,Qarin Ahuja,8479085157,q.ahuja1974@yahoo.com,9.33,284,Moderate,West,11.12,2024,14.25,15.83,20,20,22,21,83,Self,0,6550000,profit
P_000014,2025-04-12,Udaipur Wind Farm IX,Co-operative,Rajasthan,Udaipur,Semi-Urban,U_000927,Bina Rathore,9736570140,binar1988@hotmail.com,10.13,52,Moderate,East,12.5,2025,29.64,32.93,29,29,31,30,119,Professional,75000,18355000,profit
P_000015,2025-09-02,Bhavani Koyilandy Flow Ridge,Industrial,Kerala,Koyilandy,Rural,U_001310,Wriddhish Tiwari,9911374688,wriddhish_tiwari@gmail.com,9.12,256,Moderate,West,12.5,2025,14.75,16.39,22,22,22,22,88,Professional,75000,13640000,profit
P_000016,2025-05-10,Jagannath Satna Updraft Operations,Government (MNRE),Madhya Pradesh,Satna,Urban,U_001046,Tanvi Dubey,9159848919,tanvi2427@hotmail.com,12.56,240,Moderate,West,13.97,2025,30.45,33.83,22,0,22,23,67,Professional,75000,10335000,profit
P_000017,2024-04-15,Tamil Cloud Reserve,Government (MNRE),Tamil Nadu,Nagercoil,Urban,U_001455,Yadavi Kumar,8592181893,yadavi.kumar71@outlook.com,6.83,285,Light Breeze,West,16.06,2024,17.43,19.37,26,26,30,31,113,Professional,75000,17185000,profit
P_000018,2024-10-19,Andhra Updraft Reserve,Commercial,Andhra Pradesh,Srikakulam,Semi-Urban,U_000706,Hredhaan Kapoor,7887158658,h.kapoor1985@gmail.com,6.34,156,Light Breeze,South,14.52,2024,6.96,7.73,18,18,22,0,58,Professional,75000,9810000,profit
P_000019,2023-04-08,Kerala Breeze Array,Industrial,Kerala,Vatakara,Urban,U_000796,Bhavani Goel,9962426666,goel.bhavani852@outlook.com,4.12,231,Light Breeze,West,10.68,2023,0.83,0.92,7,7,10,9,33,Professional,75000,4955000,profit
